Absolute_Downloads,Change_Downloads,Change Ratio_Downloads,Absolute_Revenue,Change_Revenue,Change_Ratio_Revenue,Category,In_App_Purchases,Contains_Ads,Changed_Free_to_Paid,Free
39451651,9518952,0.318011817,0,0,0,Shopping,FALSE,TRUE,FALSE,TRUE
39442516,-25136585,-0.389237147,28486.5,4452.8,0.185273179,Photography,FALSE,FALSE,FALSE,TRUE
39233717,-3950085,-0.09147145,7187378.55,-726539.59,-0.091805295,Action,TRUE,TRUE,FALSE,TRUE
39178468,201177,0.00516139,251344.92,251344.92,0,Personalization,TRUE,TRUE,FALSE,TRUE
39061686,34914825,8.419579291,0,0,0,Action,FALSE,TRUE,FALSE,TRUE
38975000,-20048742,-0.3396725,10437,-38673.5,-0.787479256,Photography,FALSE,TRUE,FALSE,TRUE
38934790,1900916,0.051329116,14175263.34,10853138.95,3.266927326,Music,TRUE,,,TRUE
38858463,12152313,0.455037997,3404061.13,2184324.34,1.790816148,Productivity,TRUE,TRUE,FALSE,TRUE
38696058,38696058,0,1973.42,1973.42,0,Photography,TRUE,TRUE,,TRUE
38671831,38659850,3226.763208,268644.83,268644.83,0,Video Players & Editors,FALSE,FALSE,,TRUE
38308651,33710836,7.331925273,0,0,0,Travel,FALSE,,,TRUE
38293608,16795033,0.781216104,3044683.29,860216.36,0.39378777,Simulation,TRUE,TRUE,FALSE,TRUE
38284089,8438542,0.282740403,11453849.87,6382504.99,1.25854288,Racing,TRUE,TRUE,FALSE,TRUE
38281019,14559762,0.613785433,42705.13,6140.29,0.167928808,Photography,FALSE,FALSE,FALSE,TRUE
37935919,-5791832,-0.13245209,1886428.99,25634.19,0.013775936,Arcade,TRUE,TRUE,FALSE,TRUE
37919355,-7997482,-0.174173191,2164668.37,255497.92,0.133826668,Music & Audio,FALSE,TRUE,FALSE,TRUE
37779102,-3658542,-0.0882903,125939214,-10701687.18,-0.078319794,Casual,TRUE,TRUE,FALSE,TRUE
37540382,37540382,0,629361.71,629361.71,0,Photography,TRUE,TRUE,,TRUE
37346133,9421901,0.337409494,0,0,0,Shopping,FALSE,FALSE,FALSE,TRUE
37345845,-4813257,-0.114168869,1499973.87,-553634.06,-0.269590924,Arcade,TRUE,TRUE,FALSE,TRUE
37286674,3154712,0.092426916,7945.96,7945.96,0,Photo & Video,FALSE,,FALSE,TRUE
37234633,-7531484,-0.168240725,34997439.12,3971303.24,0.127998641,Social,TRUE,TRUE,FALSE,TRUE
36942437,-13222429,-0.263579474,198454419.1,102600720.9,1.070388757,Music & Audio,TRUE,TRUE,FALSE,TRUE
36559701,-2206920,-0.056928356,0,0,0,Card,FALSE,TRUE,FALSE,TRUE
36490569,9787978,0.366555365,0,0,0,Tools,FALSE,FALSE,,TRUE
36461095,1018254,0.028729469,25971944.99,21256245.32,4.507548573,Music,TRUE,,FALSE,TRUE
36368242,5696293,0.185716695,51555649.27,11234387.32,0.278621917,Simulation,TRUE,TRUE,FALSE,TRUE
36325522,31720359,6.887999187,1796182.16,1718419.17,22.09816225,Racing,TRUE,TRUE,FALSE,TRUE
36265336,-12399151,-0.254788487,0,0,0,Personalization,FALSE,TRUE,FALSE,TRUE
35955777,12614595,0.54044371,0,0,0,Lifestyle,FALSE,FALSE,,TRUE
35944258,17572228,0.956466324,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
35865675,-8157357,-0.185297482,0,0,0,Lifestyle,FALSE,,FALSE,TRUE
35726185,29375093,4.625203508,120130486.5,111250665,12.52847986,Role Playing,FALSE,FALSE,,TRUE
35584288,34349710,27.82303751,888685.63,888388.31,2987.987051,Arcade,TRUE,TRUE,FALSE,TRUE
35474453,32159292,9.700672758,383387.8,377133.7,60.301834,Casual,TRUE,TRUE,FALSE,TRUE
35397911,11289210,0.46826289,354534.98,197672.74,1.260167775,Arcade,TRUE,FALSE,FALSE,TRUE
35301017,-127940106,-0.783749239,149587.11,149587.11,0,Tools,FALSE,TRUE,FALSE,TRUE
35279908,17368045,0.969639227,0,0,0,Music & Audio,FALSE,FALSE,FALSE,TRUE
35153646,6518805,0.227652914,0,0,0,Shopping,FALSE,TRUE,FALSE,TRUE
35092836,4508421,0.147409097,12449993.16,7993734.31,1.793821809,Photography,TRUE,FALSE,FALSE,TRUE
34851790,32460293,13.57321084,0,0,0,Shopping,FALSE,FALSE,FALSE,TRUE
34724966,10367941,0.425665327,6587031.64,6408034.49,35.79964536,Utilities,FALSE,,,TRUE
34661932,23566415,2.123958262,0,0,0,Food & Drink,FALSE,FALSE,FALSE,TRUE
34623734,5032275,0.17005836,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
34575608,-11672195,-0.252383773,0,0,0,Utilities,FALSE,,,TRUE
34414127,-40132562,-0.538354722,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
34074451,23770520,2.306937032,326863.45,326863.45,0,Music,TRUE,TRUE,FALSE,TRUE
33759054,-13895609,-0.291589702,103622.15,2709.42,0.02684914,Entertainment,TRUE,TRUE,FALSE,TRUE
33719743,9775277,0.40824786,62081881.7,41009024.23,1.946059014,Action,TRUE,TRUE,FALSE,TRUE
33680346,4903240,0.170386835,1241390.6,1163576.82,14.95335171,Productivity,TRUE,FALSE,,TRUE
33643665,-2469039,-0.068370372,29052778.5,5443127.48,0.230546715,Racing,TRUE,FALSE,FALSE,TRUE
33535699,-6683134,-0.166169267,626212.21,-40261.77,-0.060410115,Racing,TRUE,TRUE,FALSE,TRUE
33519732,30635322,10.62100118,111418580.8,97808804.83,7.186657962,Card,TRUE,TRUE,FALSE,TRUE
33472174,18467762,1.230822108,2186976.36,1789865.58,4.507219824,Casual,TRUE,TRUE,FALSE,TRUE
33333184,-702050,-0.020627154,120507.95,120026.22,249.156623,Photography,TRUE,TRUE,FALSE,TRUE
33271419,-1547389,-0.044441182,223258.28,14634.73,0.070148984,Tools,TRUE,TRUE,FALSE,TRUE
33265573,16084454,0.936170339,0,0,0,Music & Audio,FALSE,TRUE,FALSE,TRUE
33206221,13584944,0.692357791,0,0,0,Social,FALSE,FALSE,FALSE,TRUE
33011769,7729033,0.305703979,0,0,0,Navigation,FALSE,,,TRUE
32981039,5284755,0.190810977,0,-2.23,-1,Communication,TRUE,FALSE,FALSE,TRUE
32978201,13982178,0.736058174,23410.72,14105.34,1.515826328,Simulation,TRUE,TRUE,FALSE,TRUE
32797250,-6384148,-0.162938239,109740562.6,42482617.99,0.631637173,Casual,TRUE,TRUE,FALSE,TRUE
32764177,-4129786,-0.111936633,28686943.86,22274091.41,3.473351614,Entertainment,TRUE,,FALSE,TRUE
32609687,32609687,0,0,0,0,Finance,FALSE,FALSE,,TRUE
32552084,13572122,0.715076353,625.11,-2076.95,-0.768654286,Education,FALSE,FALSE,FALSE,TRUE
32539675,14489466,0.802731204,0,0,0,Entertainment,FALSE,TRUE,FALSE,TRUE
32442147,-854942,-0.025676178,11822097.22,9710283.83,4.59807854,Social,FALSE,TRUE,FALSE,TRUE
32006296,172069,0.005405157,0,0,0,Social,FALSE,TRUE,FALSE,TRUE
31994122,-3224550,-0.091557967,42667984.25,22533439.02,1.119143182,Sports,TRUE,TRUE,,TRUE
31870014,1130261,0.036768708,995278.62,352169.85,0.547605423,Photography,TRUE,TRUE,FALSE,TRUE
31710101,-11240257,-0.261703453,38613.07,38613.07,0,Tools,TRUE,TRUE,FALSE,TRUE
31472289,7702149,0.324026236,0,0,0,Finance,FALSE,FALSE,FALSE,TRUE
31468108,-6824201,-0.178213359,10566.46,-1931.4,-0.154538457,Music & Audio,FALSE,TRUE,FALSE,TRUE
31371190,-13777855,-0.305163819,237987.9,93197.59,0.64367284,Arcade,TRUE,TRUE,FALSE,TRUE
31366142,-8691915,-0.216982941,71121209.83,-21302522.12,-0.230487578,Casual,TRUE,FALSE,FALSE,TRUE
31295664,9196202,0.416127868,0,0,0,Shopping,FALSE,FALSE,FALSE,TRUE
31287232,26385676,5.383122421,5697.4,5697.4,0,Tools,FALSE,TRUE,FALSE,TRUE
31200767,1361061,0.045612413,41078771.14,14281299.94,0.532934613,Social,FALSE,TRUE,FALSE,TRUE
31073820,27355358,7.356632393,0,0,0,Photo & Video,FALSE,,,TRUE
31056574,31056574,0,1577946.43,1577946.43,0,Action,TRUE,FALSE,,TRUE
31033206,-10458713,-0.252066264,19337343.61,13040802.33,2.071105667,Productivity,TRUE,,FALSE,TRUE
30968000,3697489,0.135585615,49121318.16,30725640.69,1.670264155,Communication,TRUE,TRUE,FALSE,TRUE
30902678,5435474,0.21343034,0,0,0,Travel & Local,FALSE,FALSE,FALSE,TRUE
30681309,30681309,0,10845224.97,10845224.97,0,Word,TRUE,TRUE,,TRUE
30672263,-5213132,-0.145271691,0,0,0,Arcade,FALSE,TRUE,FALSE,TRUE
